date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-10-31,2122,La Liga,Ath Madrid,Betis,OVER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-31,2122,La Liga,Ath Madrid,Betis,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-31,2122,La Liga,Ath Madrid,Betis,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-31,2122,La Liga,Ath Madrid,Betis,BTTS_NO,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-31,2122,La Liga,Cadiz,Mallorca,OVER25,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-10-31,2122,La Liga,Cadiz,Mallorca,UNDER25,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-10-31,2122,La Liga,Cadiz,Mallorca,BTTS_YES,0.45,2.2222222222222223,2.1164021164021163,1.1164021164021163
2021-10-31,2122,La Liga,Cadiz,Mallorca,BTTS_NO,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-31,2122,La Liga,Getafe,Espanol,OVER25,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-31,2122,La Liga,Getafe,Espanol,UNDER25,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-31,2122,La Liga,Getafe,Espanol,BTTS_YES,0.45,2.2222222222222223,2.1164021164021163,1.1164021164021163
2021-10-31,2122,La Liga,Getafe,Espanol,BTTS_NO,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-31,2122,La Liga,Sociedad,Ath Bilbao,OVER25,0.2,5.0,4.761904761904762,-1.0
2021-10-31,2122,La Liga,Sociedad,Ath Bilbao,UNDER25,0.8,1.25,1.1904761904761905,0.19047619047619047
2021-10-31,2122,La Liga,Sociedad,Ath Bilbao,BTTS_YES,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-31,2122,La Liga,Sociedad,Ath Bilbao,BTTS_NO,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-31,2122,Ligue 1,Angers,Nice,OVER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-31,2122,Ligue 1,Angers,Nice,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-31,2122,Ligue 1,Angers,Nice,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-31,2122,Ligue 1,Angers,Nice,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-31,2122,Ligue 1,Bordeaux,Reims,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-31,2122,Ligue 1,Bordeaux,Reims,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-31,2122,Ligue 1,Bordeaux,Reims,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
