season,date,league,home_team,away_team,selection,model_probability,market_probability,edge,reference_odds,odds_source,profit_units
2122,2021-12-14,Bundesliga,Wolfsburg,FC Koln,UNDER25,0.5,0.47780678851174935,0.022193211488250653,2.0,Media mercato Football-Data,-1.0
2122,2021-12-15,Bundesliga,M'gladbach,Ein Frankfurt,OVER25,0.6,0.5717948717948719,0.028205128205128105,1.67,Media mercato Football-Data,0.6699999999999999
2122,2021-12-15,Bundesliga,Augsburg,RB Leipzig,OVER25,0.6499999999999999,0.5934343434343434,0.056565656565656486,1.61,Media mercato Football-Data,-1.0
2122,2021-12-15,Bundesliga,Dortmund,Greuther Furth,UNDER25,0.25,0.23946360153256702,0.010536398467432984,3.97,Media mercato Football-Data,-1.0
2122,2021-12-15,Bundesliga,Leverkusen,Hoffenheim,UNDER25,0.3500000000000001,0.34360189573459715,0.006398104265402937,2.77,Media mercato Football-Data,-1.0
2122,2021-12-15,Bundesliga,Union Berlin,Freiburg,OVER25,0.6,0.47135416666666663,0.12864583333333335,2.03,Media mercato Football-Data,-1.0
2122,2021-12-17,Bundesliga,Bayern Munich,Wolfsburg,UNDER25,0.30000000000000004,0.2702702702702703,0.02972972972972976,3.51,Media mercato Football-Data,-1.0
2122,2021-12-18,Bundesliga,Bochum,Union Berlin,UNDER25,0.55,0.5286458333333333,0.021354166666666785,1.81,Media mercato Football-Data,0.81
2122,2021-12-18,Bundesliga,Ein Frankfurt,Mainz,OVER25,0.75,0.5340314136125655,0.21596858638743455,1.78,Media mercato Football-Data,-1.0
2122,2021-12-18,Bundesliga,Greuther Furth,Augsburg,OVER25,0.65,0.4973821989528796,0.15261780104712042,1.92,Media mercato Football-Data,-1.0
2122,2021-12-18,Bundesliga,Hoffenheim,M'gladbach,OVER25,0.7,0.6299019607843138,0.07009803921568614,1.51,Media mercato Football-Data,-1.0
2122,2021-12-18,Bundesliga,RB Leipzig,Bielefeld,UNDER25,0.5,0.39,0.10999999999999999,2.44,Media mercato Football-Data,1.44
2122,2021-12-18,Bundesliga,Hertha,Dortmund,OVER25,0.6000000000000001,0.5994962216624685,0.0005037783375315685,1.59,Media mercato Football-Data,0.5900000000000001
2122,2021-12-19,Bundesliga,Freiburg,Leverkusen,OVER25,0.6499999999999999,0.5692307692307692,0.0807692307692307,1.68,Media mercato Football-Data,0.6799999999999999
2122,2021-12-19,Bundesliga,FC Koln,Stuttgart,OVER25,0.6,0.5826972010178116,0.01730279898218834,1.64,Media mercato Football-Data,-1.0
2122,2022-01-07,Bundesliga,Bayern Munich,M'gladbach,OVER25,0.75,0.7408906882591094,0.00910931174089058,1.28,Media mercato Football-Data,0.28
2122,2022-01-08,Bundesliga,Freiburg,Bielefeld,UNDER25,0.55,0.5078534031413613,0.04214659685863875,1.88,Media mercato Football-Data,-1.0
2122,2022-01-08,Bundesliga,Greuther Furth,Stuttgart,OVER25,0.6,0.518324607329843,0.081675392670157,1.84,Media mercato Football-Data,-1.0
2122,2022-01-08,Bundesliga,Hoffenheim,Augsburg,UNDER25,0.5,0.40759493670886077,0.09240506329113923,2.34,Media mercato Football-Data,-1.0
2122,2022-01-08,Bundesliga,Leverkusen,Union Berlin,OVER25,0.55,0.5404699738903395,0.009530026109660583,1.76,Media mercato Football-Data,0.76
2122,2022-01-08,Bundesliga,RB Leipzig,Mainz,OVER25,0.6,0.5442708333333333,0.05572916666666672,1.75,Media mercato Football-Data,0.75
2122,2022-01-08,Bundesliga,Ein Frankfurt,Dortmund,OVER25,0.7,0.6449275362318841,0.05507246376811581,1.47,Media mercato Football-Data,0.47
2122,2022-01-09,Bundesliga,Hertha,FC Koln,UNDER25,0.55,0.4595300261096606,0.09046997389033945,2.07,Media mercato Football-Data,-1.0
2122,2022-01-09,Bundesliga,Bochum,Wolfsburg,UNDER25,0.6,0.5052356020942408,0.09476439790575919,1.89,Media mercato Football-Data,0.8899999999999999
2122,2022-01-14,Bundesliga,Dortmund,Freiburg,OVER25,0.75,0.667447306791569,0.08255269320843095,1.42,Media mercato Football-Data,0.41999999999999993
2122,2022-01-15,Bundesliga,FC Koln,Bayern Munich,UNDER25,0.30000000000000004,0.264344262295082,0.035655737704918034,3.59,Media mercato Football-Data,-1.0
2122,2022-01-15,Bundesliga,Mainz,Bochum,OVER25,0.5,0.4921465968586388,0.007853403141361182,1.94,Media mercato Football-Data,-1.0
2122,2022-01-15,Bundesliga,Stuttgart,RB Leipzig,UNDER25,0.44999999999999996,0.40050377833753154,0.04949622166246842,2.38,Media mercato Football-Data,1.38
2122,2022-01-15,Bundesliga,Union Berlin,Hoffenheim,UNDER25,0.44999999999999996,0.4481865284974093,0.0018134715025906467,2.13,Media mercato Football-Data,-1.0
2122,2022-01-15,Bundesliga,Wolfsburg,Hertha,UNDER25,0.55,0.5117493472584856,0.0382506527415144,1.87,Media mercato Football-Data,0.8700000000000001
2122,2022-01-15,Bundesliga,M'gladbach,Leverkusen,OVER25,0.7,0.6457831325301205,0.054216867469879415,1.47,Media mercato Football-Data,0.47
2122,2022-01-16,Bundesliga,Augsburg,Ein Frankfurt,OVER25,0.55,0.5248041775456919,0.02519582245430818,1.82,Media mercato Football-Data,-1.0
2122,2022-01-16,Bundesliga,Bielefeld,Greuther Furth,OVER25,0.55,0.47258485639686687,0.07741514360313317,2.02,Media mercato Football-Data,1.02
2122,2022-01-21,Bundesliga,Ein Frankfurt,Bielefeld,UNDER25,0.5,0.47519582245430814,0.024804177545691863,2.01,Media mercato Football-Data,1.0099999999999998
2122,2022-01-22,Bundesliga,Freiburg,Stuttgart,OVER25,0.65,0.48167539267015713,0.1683246073298429,1.98,Media mercato Football-Data,-1.0
2122,2022-01-22,Bundesliga,Greuther Furth,Mainz,OVER25,0.6499999999999999,0.4830287206266319,0.16697127937336803,1.98,Media mercato Football-Data,0.98
2122,2022-01-22,Bundesliga,Hoffenheim,Dortmund,OVER25,0.7,0.683371298405467,0.016628701594533002,1.39,Media mercato Football-Data,0.3899999999999999
2122,2022-01-22,Bundesliga,Leverkusen,Augsburg,UNDER25,0.44999999999999996,0.39698492462311563,0.053015075376884324,2.4,Media mercato Football-Data,-1.0
2122,2022-01-22,Bundesliga,M'gladbach,Union Berlin,OVER25,0.7,0.5195822454308094,0.1804177545691905,1.84,Media mercato Football-Data,0.8400000000000001
2122,2022-01-22,Bundesliga,Bochum,FC Koln,UNDER25,0.6,0.4583333333333333,0.14166666666666666,2.08,Media mercato Football-Data,-1.0
2122,2022-01-23,Bundesliga,RB Leipzig,Wolfsburg,UNDER25,0.5,0.4404145077720207,0.05958549222797932,2.16,Media mercato Football-Data,1.1600000000000001
2122,2022-01-23,Bundesliga,Hertha,Bayern Munich,UNDER25,0.35,0.3022222222222222,0.04777777777777775,3.14,Media mercato Football-Data,-1.0
2122,2022-02-04,Bundesliga,Hertha,Bochum,UNDER25,0.6,0.4908616187989557,0.1091383812010443,1.95,Media mercato Football-Data,0.95
