target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
OU25,Greece Super League,OVER25,0.05,1.35,3.0,294,48.519999999999996,0.16503401360544218,0.5578231292517006,2.1228571428571423,3,3,0.03333333333333334
OU25,Greece Super League,OVER25,0.05,1.5,3.0,293,48.11,0.16419795221843003,0.5563139931740614,2.1252901023890782,3,3,0.03333333333333334
OU25,Greece Super League,OVER25,0.05,2.0,3.0,203,33.239999999999995,0.163743842364532,0.5172413793103449,2.2579802955665027,3,3,0.0725
OU25,Greece Super League,TUTTI,0.09,1.8,2.5,204,32.95,0.16151960784313726,0.5441176470588235,2.1270588235294117,3,3,0.054285714285714284
OU25,Greece Super League,TUTTI,0.07,1.8,2.5,263,42.39,0.1611787072243346,0.5437262357414449,2.133041825095057,3,3,0.03833333333333333
OU25,Greece Super League,OVER25,0.05,1.65,4.0,283,45.53,0.16088339222614842,0.5477031802120141,2.1557597173144876,3,3,0.015402298850574706
OU25,Greece Super League,OVER25,0.05,1.65,,283,45.53,0.16088339222614842,0.5477031802120141,2.1557597173144876,3,3,0.015402298850574706
OU25,Greece Super League,TUTTI,0.12,2.0,3.0,123,19.5,0.15853658536585366,0.5121951219512195,2.2973170731707313,3,3,0.14974999999999997
OU25,Greece Super League,OVER25,0.05,1.35,4.0,296,46.519999999999996,0.15716216216216214,0.5540540540540541,2.1297972972972974,3,3,0.010112359550561792
OU25,Greece Super League,OVER25,0.05,1.35,,296,46.519999999999996,0.15716216216216214,0.5540540540540541,2.1297972972972974,3,3,0.010112359550561792
OU25,Greece Super League,TUTTI,0.09,1.35,2.5,229,35.980000000000004,0.15711790393013103,0.5589519650655022,2.0772052401746723,3,3,0.051739130434782614
OU25,Greece Super League,OVER25,0.05,1.5,4.0,295,46.11,0.1563050847457627,0.5525423728813559,2.132237288135593,3,3,0.010112359550561792
OU25,Greece Super League,OVER25,0.05,1.5,,295,46.11,0.1563050847457627,0.5525423728813559,2.132237288135593,3,3,0.010112359550561792
OU25,Greece Super League,TUTTI,0.09,1.5,2.5,228,35.57,0.15600877192982457,0.5570175438596491,2.0801315789473684,3,3,0.051739130434782614
OU25,Greece Super League,OVER25,0.05,1.8,2.5,244,37.99,0.1556967213114754,0.5409836065573771,2.1416393442622947,3,3,0.07028169014084508
OU25,Greece Super League,TUTTI,0.09,1.65,2.5,220,34.08,0.1549090909090909,0.55,2.0982727272727275,3,3,0.043970588235294115
OU25,Greece Super League,TUTTI,0.09,2.0,4.0,179,27.36,0.15284916201117318,0.5083798882681564,2.3158100558659216,3,3,0.10433333333333333
OU25,Greece Super League,OVER25,0.05,2.0,4.0,205,31.24,0.15239024390243902,0.5121951219512195,2.2666829268292683,3,3,0.04185714285714284
OU25,Greece Super League,OVER25,0.05,2.0,,205,31.24,0.15239024390243902,0.5121951219512195,2.2666829268292683,3,3,0.04185714285714284
OU25,Greece Super League,OVER25,0.05,1.8,3.0,263,39.88999999999999,0.15167300380228135,0.532319391634981,2.178060836501901,3,3,0.055853658536585346
OU25,Greece Super League,TUTTI,0.09,2.0,,180,26.359999999999996,0.14644444444444443,0.5055555555555555,2.3330555555555557,3,3,0.10433333333333333
OU25,Greece Super League,TUTTI,0.07,2.0,4.0,228,33.379999999999995,0.1464035087719298,0.5087719298245614,2.3027631578947365,3,3,0.04189873417721519
OU25,Greece Super League,TUTTI,0.03,2.0,2.5,277,40.44,0.1459927797833935,0.51985559566787,2.209927797833935,3,3,0.11862745098039214
OU25,Greece Super League,OVER25,0.05,1.8,4.0,265,37.89,0.1429811320754717,0.5283018867924528,2.185396226415094,3,3,0.030714285714285694
OU25,Greece Super League,OVER25,0.05,1.8,,265,37.89,0.1429811320754717,0.5283018867924528,2.185396226415094,3,3,0.030714285714285694
