date,league,home_team,away_team,result,selection,model_probability,market_probability,edge,fair_odds,reference_odds,odds_source,profit_units
2025-08-29,Serie A,Lecce,Milan,A,A,0.67278932457889,0.6028301671356546,0.06995915744323533,1.4863493867503272,1.57,Media mercato riportata da Football-Data.co.uk,0.5700000000000001
2025-08-30,Bundesliga,Hoffenheim,Ein Frankfurt,A,A,0.5241651502061802,0.4193791630011311,0.10478598720504906,1.9077956625057015,2.24,Media mercato riportata da Football-Data.co.uk,1.2400000000000002
2025-08-30,Bundesliga,RB Leipzig,Heidenheim,H,D,0.271948950757697,0.1942962840962359,0.07765266666146109,3.6771607215759663,4.83,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,Bundesliga,Stuttgart,M'gladbach,H,D,0.2780456711320954,0.2111671862549104,0.06687848487718498,3.5965314472560688,4.45,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,Bundesliga,Werder Bremen,Leverkusen,D,A,0.6788483282971698,0.4913494560301553,0.1874988722670145,1.4730831001799922,1.91,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,La Liga,Alaves,Ath Madrid,D,A,0.6295212531812984,0.5304957778049739,0.09902547537632445,1.5885087198350807,1.78,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,La Liga,Girona,Sevilla,A,D,0.35849685804636766,0.2874759588188709,0.07102089922749677,2.7894247259223146,3.29,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,Ligue 1,Lorient,Lille,A,A,0.5644689074561053,0.4452923248726241,0.11917658258348124,1.7715767632033175,2.11,Media mercato riportata da Football-Data.co.uk,1.1099999999999999
2025-08-30,Ligue 1,Nantes,Auxerre,H,A,0.35844532677799046,0.2901807209578531,0.06826460582013738,2.789825742711853,3.24,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,Premier League,Leeds,Newcastle,D,A,0.5290018364580618,0.4471212150012356,0.08188062145682617,1.8903526057593905,2.12,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-30,Premier League,Wolves,Everton,A,A,0.4453082298416442,0.3461394119374735,0.0991688179041707,2.2456355687735874,2.74,Media mercato riportata da Football-Data.co.uk,1.7400000000000002
2025-08-30,Serie A,Parma,Atalanta,D,A,0.5731045814753571,0.4819988864545146,0.09110569502084254,1.7448822297418658,1.96,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Bundesliga,Dortmund,Union Berlin,H,A,0.18414917037855655,0.1337916446324695,0.05035752574608704,5.430380152917844,7.02,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Bundesliga,FC Koln,Freiburg,H,A,0.5138760596734331,0.3405425281208737,0.17333353155255937,1.9459945276211106,2.74,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Bundesliga,Wolfsburg,Mainz,D,A,0.37382273698098223,0.28090622765242,0.09291650932856221,2.6750646792543114,3.34,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,La Liga,Betis,Ath Bilbao,A,A,0.4517220890558372,0.3824310142601395,0.06929107479569774,2.21375049887452,2.46,Media mercato riportata da Football-Data.co.uk,1.46
2025-08-31,La Liga,Celta,Villarreal,D,A,0.5241055011678052,0.3868375826442103,0.13726791852359488,1.9080127908823945,2.43,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,La Liga,Espanol,Osasuna,H,A,0.37694347742553913,0.3028958171530012,0.07404766027253795,2.65291763855375,3.09,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Ligue 1,Angers,Rennes,D,A,0.55746764494234,0.4428993582252232,0.11456828671711683,1.7938260795448173,2.11,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Ligue 1,Le Havre,Nice,H,A,0.611629003512751,0.4587206850569298,0.15290831845582115,1.6349780573791126,2.05,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Ligue 1,Lyon,Marseille,H,A,0.5463040374722542,0.3909557408595253,0.15534829661272892,1.8304825361112003,2.4,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Premier League,Aston Villa,Crystal Palace,A,A,0.354688056904836,0.2321180844570223,0.1225699724478137,2.8193788331257608,4.07,Media mercato riportata da Football-Data.co.uk,3.0700000000000003
2025-08-31,Premier League,Brighton,Man City,H,A,0.6604667831542963,0.5073080713821376,0.15315871177215867,1.5140806858206266,1.85,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Premier League,Liverpool,Arsenal,H,A,0.3529464614013805,0.2985771116805948,0.054369349720785665,2.8332909077186423,3.17,Media mercato riportata da Football-Data.co.uk,-1.0
2025-08-31,Serie A,Genoa,Juventus,A,A,0.6497717711515737,0.5055026585878569,0.14426911256371677,1.539001914822686,1.86,Media mercato riportata da Football-Data.co.uk,0.8600000000000001
2025-09-12,Bundesliga,Leverkusen,Ein Frankfurt,H,A,0.3648100688462356,0.3030878498993505,0.06172221894688512,2.741152411616938,3.11,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-12,Ligue 1,Marseille,Lorient,H,A,0.18284950601744088,0.1250339038574664,0.05781560215997447,5.468978406234339,7.55,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-13,Bundesliga,Freiburg,Stuttgart,H,A,0.5180059011318728,0.4091283010236635,0.10887760010820935,1.9304799381917122,2.29,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-13,Bundesliga,Heidenheim,Dortmund,A,A,0.6900576702316051,0.6047913624118606,0.08526630781974454,1.4491542419409214,1.55,Media mercato riportata da Football-Data.co.uk,0.55
2025-09-13,Bundesliga,Mainz,RB Leipzig,A,A,0.5510121678571734,0.3710595570670877,0.17995261079008573,1.814841955103989,2.53,Media mercato riportata da Football-Data.co.uk,1.5299999999999998
2025-09-13,Bundesliga,Union Berlin,Hoffenheim,A,A,0.4661057704096442,0.3558704851884657,0.11023528522117848,2.1454357862189406,2.64,Media mercato riportata da Football-Data.co.uk,1.6400000000000001
2025-09-13,Bundesliga,Wolfsburg,FC Koln,D,D,0.3286098653973421,0.2639215917117966,0.06468827368554553,3.0431222714231034,3.56,Media mercato riportata da Football-Data.co.uk,2.56
2025-09-13,La Liga,Sociedad,Real Madrid,A,A,0.6498070857560323,0.5937705958454366,0.05603648991059573,1.5389182757779998,1.59,Media mercato riportata da Football-Data.co.uk,0.5900000000000001
2025-09-13,Ligue 1,Auxerre,Monaco,A,A,0.7177270920106715,0.5906890255138794,0.12703806649679217,1.3932872412528794,1.59,Media mercato riportata da Football-Data.co.uk,0.5900000000000001
2025-09-13,Ligue 1,Nice,Nantes,H,A,0.25430233106246386,0.1897176735298844,0.06458465753257947,3.932327304362663,4.95,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-13,Premier League,Brentford,Chelsea,D,A,0.6786498143271485,0.5487318315522036,0.12991798277494493,1.473513996303758,1.73,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-13,Premier League,Everton,Aston Villa,D,A,0.38316291726728374,0.3214238235850995,0.06173909368218422,2.6098558992399257,2.95,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-13,Premier League,West Ham,Tottenham,A,A,0.6112130709752367,0.4514901712111604,0.15972289976407628,1.636090665411367,2.1,Media mercato riportata da Football-Data.co.uk,1.1
2025-09-13,Serie A,Fiorentina,Napoli,A,A,0.5428330911359621,0.4247661266150279,0.11806696452093424,1.8421868827254901,2.22,Media mercato riportata da Football-Data.co.uk,1.2200000000000002
2025-09-13,Serie A,Juventus,Inter,H,A,0.43906337411646423,0.3409973892283949,0.09806598488806934,2.2775755368170243,2.77,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Bundesliga,M'gladbach,Werder Bremen,A,D,0.2940178383526081,0.2395430681359256,0.05447477021668248,3.40115418031448,3.92,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Bundesliga,St Pauli,Augsburg,H,A,0.4308350178605275,0.2885260648227384,0.14230895303778912,2.321074096915042,3.25,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,La Liga,Barcelona,Valencia,H,D,0.18973888196635022,0.1340903244051067,0.05564855756124351,5.270401035552364,7.01,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,La Liga,Levante,Betis,D,A,0.5951952693658534,0.4170609249782755,0.17813434438757791,1.6801208804388565,2.25,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,La Liga,Osasuna,Vallecano,H,A,0.4577857946054029,0.3228726240220208,0.1349131705833821,2.1844277646534858,2.91,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Ligue 1,Lille,Toulouse,H,A,0.36275245252609495,0.2207379658372314,0.14201448668886354,2.7567008659384986,4.25,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Ligue 1,Metz,Angers,D,A,0.3887526618906184,0.3028289073300096,0.0859237545606088,2.5723296533500406,3.1,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Ligue 1,Paris SG,Lens,H,D,0.22129475674923718,0.1638615620746755,0.05743319467456168,4.5188598893608765,5.75,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Ligue 1,Rennes,Lyon,H,D,0.3437230172198916,0.2698428218729375,0.07388019534695411,2.909319277155842,3.48,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Premier League,Man City,Man United,H,A,0.32661854701845733,0.2256925138759886,0.10092603314246873,3.0616754900434042,4.19,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Serie A,Atalanta,Lecce,H,D,0.2593157918311963,0.2066955049840135,0.052620286847182784,3.8563019742775944,4.56,Media mercato riportata da Football-Data.co.uk,-1.0
