target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
BTTS,TUTTI,BTTS_NO,0.12,2.0,2.2,47,2.030000000000001,0.043191489361702154,0.48936170212765956,2.1361702127659576,0,0,
BTTS,Premier League,BTTS_NO,0.09,2.0,2.5,224,9.660000000000002,0.04312500000000001,0.4642857142857143,2.2655357142857144,7,4,-0.20769230769230768
BTTS,Premier League,BTTS_NO,0.12,2.0,4.0,130,5.480000000000002,0.042153846153846174,0.4153846153846154,2.5644615384615386,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,2.0,,130,5.480000000000002,0.042153846153846174,0.4153846153846154,2.5644615384615386,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.4,4.0,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.4,,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.55,4.0,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.55,,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.7,4.0,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.7,,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.85,4.0,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,Premier League,BTTS_NO,0.12,1.85,,132,5.440000000000003,0.041212121212121235,0.4166666666666667,2.5555303030303023,2,0,-0.15648648648648647
BTTS,TUTTI,BTTS_NO,0.12,1.4,2.2,49,1.9900000000000002,0.040612244897959185,0.4897959183673469,2.1295918367346935,0,0,
BTTS,TUTTI,BTTS_NO,0.12,1.55,2.2,49,1.9900000000000002,0.040612244897959185,0.4897959183673469,2.1295918367346935,0,0,
BTTS,TUTTI,BTTS_NO,0.12,1.7,2.2,49,1.9900000000000002,0.040612244897959185,0.4897959183673469,2.1295918367346935,0,0,
BTTS,TUTTI,BTTS_NO,0.12,1.85,2.2,49,1.9900000000000002,0.040612244897959185,0.4897959183673469,2.1295918367346935,0,0,
BTTS,Premier League,BTTS_NO,0.09,1.85,2.5,232,9.41,0.040560344827586206,0.46551724137931033,2.2544827586206897,7,4,-0.20769230769230768
OU25,Serie A,UNDER25,0.07,2.0,2.2,195,7.869999999999999,0.040358974358974356,0.49230769230769234,2.1174871794871795,4,3,-0.3286363636363636
BTTS,Premier League,BTTS_YES,0.03,2.0,2.2,233,8.940000000000001,0.038369098712446356,0.4978540772532189,2.0836909871244633,5,3,-0.4309090909090909
OU25,Premier League,OVER25,0.05,1.55,2.2,395,13.530000000000008,0.03425316455696205,0.5240506329113924,1.9781518987341775,11,6,-0.3255
BTTS,La Liga,BTTS_NO,0.12,1.4,3.0,91,3.1100000000000003,0.03417582417582418,0.4065934065934066,2.533956043956044,1,1,0.1305
BTTS,La Liga,BTTS_NO,0.12,1.55,3.0,91,3.1100000000000003,0.03417582417582418,0.4065934065934066,2.533956043956044,1,1,0.1305
BTTS,La Liga,BTTS_NO,0.12,1.7,3.0,91,3.1100000000000003,0.03417582417582418,0.4065934065934066,2.533956043956044,1,1,0.1305
BTTS,La Liga,BTTS_NO,0.12,1.85,3.0,91,3.1100000000000003,0.03417582417582418,0.4065934065934066,2.533956043956044,1,1,0.1305
BTTS,La Liga,BTTS_NO,0.12,2.0,3.0,91,3.1100000000000003,0.03417582417582418,0.4065934065934066,2.533956043956044,1,1,0.1305
BTTS,La Liga,TUTTI,0.12,2.0,3.0,130,4.119999999999999,0.031692307692307686,0.4076923076923077,2.502923076923077,1,1,0.17380952380952383
OU25,Premier League,OVER25,0.05,1.4,2.2,403,12.739999999999998,0.03161290322580645,0.5260545905707196,1.9676923076923076,11,6,-0.28904761904761905
BTTS,La Liga,BTTS_YES,0.12,1.7,4.0,44,1.370000000000001,0.03113636363636366,0.4090909090909091,2.4329545454545456,0,0,
BTTS,La Liga,BTTS_YES,0.12,1.7,,44,1.370000000000001,0.03113636363636366,0.4090909090909091,2.4329545454545456,0,0,
BTTS,La Liga,BTTS_YES,0.12,1.85,4.0,44,1.370000000000001,0.03113636363636366,0.4090909090909091,2.4329545454545456,0,0,
BTTS,La Liga,BTTS_YES,0.12,1.85,,44,1.370000000000001,0.03113636363636366,0.4090909090909091,2.4329545454545456,0,0,
BTTS,TUTTI,BTTS_YES,0.12,2.0,4.0,107,3.3000000000000007,0.03084112149532711,0.4205607476635514,2.4002803738317757,1,0,-0.09250000000000001
BTTS,TUTTI,BTTS_YES,0.12,2.0,,107,3.3000000000000007,0.03084112149532711,0.4205607476635514,2.4002803738317757,1,0,-0.09250000000000001
OU25,Ligue 1,UNDER25,0.09,1.4,2.2,52,1.5799999999999996,0.030384615384615378,0.5,2.0778846153846158,0,0,
OU25,Ligue 1,UNDER25,0.09,1.55,2.2,52,1.5799999999999996,0.030384615384615378,0.5,2.0778846153846158,0,0,
OU25,Ligue 1,UNDER25,0.09,1.7,2.2,52,1.5799999999999996,0.030384615384615378,0.5,2.0778846153846158,0,0,
OU25,Ligue 1,UNDER25,0.09,1.85,2.2,52,1.5799999999999996,0.030384615384615378,0.5,2.0778846153846158,0,0,
OU25,Premier League,UNDER25,0.12,1.4,,318,9.07,0.028522012578616352,0.36477987421383645,2.900503144654088,7,4,-0.29458333333333336
OU25,Premier League,UNDER25,0.12,1.55,,318,9.07,0.028522012578616352,0.36477987421383645,2.900503144654088,7,4,-0.29458333333333336
OU25,Premier League,UNDER25,0.12,1.7,,318,9.07,0.028522012578616352,0.36477987421383645,2.900503144654088,7,4,-0.29458333333333336
OU25,Premier League,UNDER25,0.12,1.85,,318,9.07,0.028522012578616352,0.36477987421383645,2.900503144654088,7,4,-0.29458333333333336
BTTS,La Liga,TUTTI,0.12,1.4,3.0,134,3.760000000000001,0.028059701492537323,0.41044776119402987,2.4841044776119405,1,1,0.17380952380952383
BTTS,La Liga,TUTTI,0.12,1.55,3.0,134,3.760000000000001,0.028059701492537323,0.41044776119402987,2.4841044776119405,1,1,0.17380952380952383
BTTS,La Liga,BTTS_NO,0.07,2.0,2.2,113,2.9699999999999984,0.026283185840707952,0.48672566371681414,2.108938053097345,1,1,0.4624999999999999
BTTS,La Liga,BTTS_NO,0.09,2.0,2.2,41,1.0699999999999994,0.02609756097560974,0.4878048780487805,2.1109756097560974,0,0,
OU25,Premier League,UNDER25,0.09,2.0,2.2,66,1.7199999999999998,0.02606060606060606,0.48484848484848486,2.110151515151515,0,0,
OU25,Premier League,TUTTI,0.09,1.85,2.2,158,4.01,0.025379746835443036,0.4936708860759494,2.06626582278481,1,1,0.26956521739130435
OU25,Premier League,OVER25,0.09,1.4,2.2,92,2.1999999999999997,0.023913043478260867,0.5108695652173914,1.990869565217391,0,0,
OU25,Premier League,OVER25,0.09,1.55,2.2,92,2.1999999999999997,0.023913043478260867,0.5108695652173914,1.990869565217391,0,0,
OU25,La Liga,UNDER25,0.12,1.4,3.0,198,4.679999999999998,0.023636363636363626,0.4090909090909091,2.5615656565656564,5,4,-0.0977272727272727
OU25,La Liga,UNDER25,0.12,1.55,3.0,198,4.679999999999998,0.023636363636363626,0.4090909090909091,2.5615656565656564,5,4,-0.0977272727272727
OU25,La Liga,UNDER25,0.12,1.7,3.0,198,4.679999999999998,0.023636363636363626,0.4090909090909091,2.5615656565656564,5,4,-0.0977272727272727
OU25,La Liga,UNDER25,0.12,1.85,3.0,198,4.679999999999998,0.023636363636363626,0.4090909090909091,2.5615656565656564,5,4,-0.0977272727272727
BTTS,La Liga,TUTTI,0.12,1.7,3.0,133,3.069999999999999,0.023082706766917285,0.40601503759398494,2.490075187969925,1,1,0.17380952380952383
