league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,first_half_bets,first_half_roi,second_half_bets,second_half_roi,worst_half_roi
Serie A,A,0.05,1.8,2.8,82,12.29,0.1498780487804878,0.5121951219512195,2.2659756097560977,40,0.045999999999999985,42,0.24880952380952384,0.045999999999999985
Bundesliga,TUTTI,0.09,1.55,3.5,144,7.039999999999999,0.048888888888888885,0.4236111111111111,2.5468055555555558,59,0.04593220338983052,85,0.05094117647058821,0.04593220338983052
TUTTI,D,0.05,1.55,3.5,92,5.439999999999998,0.05913043478260867,0.32608695652173914,3.249456521739131,48,0.0722916666666666,44,0.04477272727272727,0.04477272727272727
TUTTI,D,0.05,1.8,3.5,92,5.439999999999998,0.05913043478260867,0.32608695652173914,3.249456521739131,48,0.0722916666666666,44,0.04477272727272727,0.04477272727272727
TUTTI,D,0.05,2.0,3.5,92,5.439999999999998,0.05913043478260867,0.32608695652173914,3.249456521739131,48,0.0722916666666666,44,0.04477272727272727,0.04477272727272727
TUTTI,D,0.05,2.2,3.5,92,5.439999999999998,0.05913043478260867,0.32608695652173914,3.249456521739131,48,0.0722916666666666,44,0.04477272727272727,0.04477272727272727
TUTTI,D,0.05,2.5,3.5,92,5.439999999999998,0.05913043478260867,0.32608695652173914,3.249456521739131,48,0.0722916666666666,44,0.04477272727272727,0.04477272727272727
Serie A,TUTTI,0.05,2.0,3.5,164,8.319999999999999,0.05073170731707316,0.38414634146341464,2.8432926829268297,77,0.03883116883116883,87,0.06126436781609194,0.03883116883116883
Serie A,TUTTI,0.05,1.8,3.5,181,8.29,0.04580110497237569,0.39779005524861877,2.754364640883978,86,0.03790697674418603,95,0.052947368421052604,0.03790697674418603
Bundesliga,TUTTI,0.09,1.55,5.0,183,8.66,0.0473224043715847,0.3879781420765027,2.8639344262295077,69,0.07869565217391307,114,0.028333333333333318,0.028333333333333318
Bundesliga,A,0.09,1.55,5.0,166,6.589999999999996,0.03969879518072287,0.39759036144578314,2.7629518072289154,66,0.05924242424242425,100,0.026800000000000004,0.026800000000000004
Serie A,TUTTI,0.12,1.55,5.0,83,2.759999999999999,0.03325301204819276,0.4457831325301205,2.5510843373493977,27,0.02592592592592594,56,0.036785714285714276,0.02592592592592594
Serie A,TUTTI,0.12,1.55,3.5,72,5.34,0.07416666666666666,0.4861111111111111,2.31125,27,0.02592592592592594,45,0.1031111111111111,0.02592592592592594
Bundesliga,A,0.09,2.5,3.5,72,7.6899999999999995,0.10680555555555554,0.375,2.9484722222222217,33,0.20424242424242425,39,0.024358974358974352,0.024358974358974352
Premier League,TUTTI,0.07,2.5,nessuno,115,29.79,0.25904347826086954,0.3391304347826087,3.8141739130434775,37,0.02432432432432437,78,0.37038461538461537,0.02432432432432437
Bundesliga,TUTTI,0.09,1.8,3.5,133,6.529999999999999,0.04909774436090225,0.40601503759398494,2.621278195488722,57,0.08263157894736843,76,0.023947368421052623,0.023947368421052623
Bundesliga,TUTTI,0.09,2.0,5.0,155,11.55,0.07451612903225807,0.36774193548387096,3.054322580645161,61,0.15508196721311476,94,0.022234042553191512,0.022234042553191512
Bundesliga,A,0.09,2.0,5.0,138,9.480000000000002,0.06869565217391306,0.37681159420289856,2.956304347826087,58,0.13689655172413795,80,0.019249999999999996,0.019249999999999996
Bundesliga,TUTTI,0.05,2.5,3.5,84,2.2700000000000014,0.02702380952380954,0.34523809523809523,2.993690476190476,38,0.04578947368421051,46,0.011521739130434788,0.011521739130434788
Bundesliga,TUTTI,0.07,2.5,3.5,82,4.27,0.052073170731707315,0.35365853658536583,2.9881707317073167,36,0.10388888888888889,46,0.011521739130434788,0.011521739130434788
Bundesliga,A,0.09,1.55,3.5,140,4.459999999999998,0.03185714285714284,0.42142857142857143,2.524571428571428,58,0.06396551724137932,82,0.009146341463414616,0.009146341463414616
Bundesliga,TUTTI,0.09,1.8,5.0,172,8.150000000000002,0.04738372093023257,0.37209302325581395,2.941802325581395,67,0.11089552238805969,105,0.006857142857142866,0.006857142857142866
Bundesliga,TUTTI,0.12,1.55,2.8,73,8.01,0.10972602739726027,0.5068493150684932,2.2305479452054797,26,0.29653846153846153,47,0.006382978723404249,0.006382978723404249
Bundesliga,A,0.12,1.55,2.8,73,8.01,0.10972602739726027,0.5068493150684932,2.2305479452054797,26,0.29653846153846153,47,0.006382978723404249,0.006382978723404249
Serie A,TUTTI,0.05,2.2,3.5,145,6.3199999999999985,0.04358620689655172,0.36551724137931035,2.941241379310345,67,0.0059701492537313355,78,0.07589743589743585,0.0059701492537313355
Serie A,TUTTI,0.07,1.55,2.8,101,7.609999999999999,0.07534653465346534,0.5148514851485149,2.1108910891089114,46,0.0058695652173913,55,0.13345454545454546,0.0058695652173913
Serie A,A,0.07,1.55,2.8,101,7.609999999999999,0.07534653465346534,0.5148514851485149,2.1108910891089114,46,0.0058695652173913,55,0.13345454545454546,0.0058695652173913
Serie A,TUTTI,0.05,1.55,3.5,209,6.899999999999995,0.03301435406698562,0.42105263157894735,2.606937799043062,97,0.0035051546391752586,112,0.05857142857142856,0.0035051546391752586
Bundesliga,A,0.09,1.8,5.0,155,6.08,0.0392258064516129,0.38064516129032255,2.8421935483870966,64,0.09234375,91,0.0018681318681318662,0.0018681318681318662
Premier League,TUTTI,0.07,2.2,5.0,124,20.21,0.16298387096774195,0.3629032258064516,3.1362096774193544,45,2.960594732333751e-17,79,0.2558227848101266,2.960594732333751e-17
