league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Serie A,TUTTI,0.03,2324,277,-4.6300000000000034,-0.016714801444043335,0.5018050541516246,1.9978339350180505
Serie A,TUTTI,0.03,2425,294,1.6699999999999986,0.005680272108843532,0.5238095238095238,1.9735714285714285
Serie A,TUTTI,0.03,2526,311,21.88,0.07035369774919614,0.5369774919614148,2.01064308681672
Bundesliga,OVER25,0.03,TOTALE,623,-35.60000000000001,-0.057142857142857155,0.5698234349919743,1.6846869983948636
Bundesliga,OVER25,0.03,2122,69,-6.700000000000004,-0.09710144927536238,0.5217391304347826,1.7604347826086957
Bundesliga,OVER25,0.03,2223,148,-6.980000000000002,-0.04716216216216218,0.5472972972972973,1.7574324324324322
Bundesliga,OVER25,0.03,2324,128,-1.5499999999999987,-0.01210937499999999,0.625,1.6099999999999999
Bundesliga,OVER25,0.03,2425,121,-13.569999999999999,-0.1121487603305785,0.5454545454545454,1.64900826446281
Bundesliga,OVER25,0.03,2526,157,-6.799999999999997,-0.04331210191082801,0.5859872611464968,1.6712101910828026
Bundesliga,UNDER25,0.03,TOTALE,448,-64.71000000000001,-0.1444419642857143,0.35044642857142855,2.59234375
Bundesliga,UNDER25,0.03,2122,89,-17.630000000000003,-0.19808988764044946,0.33707865168539325,2.537977528089888
Bundesliga,UNDER25,0.03,2223,80,-4.96,-0.062,0.3375,2.71025
Bundesliga,UNDER25,0.03,2324,107,-2.7900000000000027,-0.02607476635514021,0.411214953271028,2.578598130841122
Bundesliga,UNDER25,0.03,2425,103,-19.58,-0.19009708737864076,0.3592233009708738,2.5274757281553395
Bundesliga,UNDER25,0.03,2526,69,-19.75,-0.286231884057971,0.2753623188405797,2.643913043478261
Bundesliga,TUTTI,0.03,TOTALE,1071,-100.31,-0.09366013071895425,0.4780578898225957,2.064360410830999
Bundesliga,TUTTI,0.03,2122,158,-24.330000000000002,-0.1539873417721519,0.4177215189873418,2.1984177215189873
Bundesliga,TUTTI,0.03,2223,228,-11.94,-0.05236842105263158,0.47368421052631576,2.091754385964912
Bundesliga,TUTTI,0.03,2324,235,-4.340000000000002,-0.018468085106382984,0.5276595744680851,2.051021276595745
Bundesliga,TUTTI,0.03,2425,224,-33.15,-0.14799107142857143,0.45982142857142855,2.0529464285714285
Bundesliga,TUTTI,0.03,2526,226,-26.550000000000004,-0.11747787610619471,0.4911504424778761,1.9681858407079649
La Liga,OVER25,0.03,TOTALE,658,-21.650000000000006,-0.03290273556231004,0.46656534954407297,2.1539209726443773
La Liga,OVER25,0.03,2122,102,10.209999999999999,0.10009803921568626,0.5098039215686274,2.167941176470588
La Liga,OVER25,0.03,2223,111,-2.49,-0.022432432432432436,0.4774774774774775,2.1314414414414413
La Liga,OVER25,0.03,2324,134,-20.699999999999996,-0.15447761194029846,0.4253731343283582,2.123134328358209
La Liga,OVER25,0.03,2425,170,5.209999999999999,0.030647058823529406,0.48823529411764705,2.2134117647058824
La Liga,OVER25,0.03,2526,141,-13.880000000000003,-0.09843971631205675,0.4397163120567376,2.1190070921985815
La Liga,UNDER25,0.03,TOTALE,735,0.13000000000000256,0.0001768707482993232,0.5197278911564626,2.0156190476190474
La Liga,UNDER25,0.03,2122,114,5.869999999999999,0.051491228070175435,0.5614035087719298,1.8935964912280703
La Liga,UNDER25,0.03,2223,178,-3.149999999999999,-0.01769662921348314,0.5337078651685393,1.9052808988764045
La Liga,UNDER25,0.03,2324,167,-12.0,-0.0718562874251497,0.49101796407185627,2.0090419161676647
La Liga,UNDER25,0.03,2425,128,3.5300000000000007,0.027578125000000005,0.515625,2.14203125
La Liga,UNDER25,0.03,2526,148,5.880000000000003,0.03972972972972975,0.5067567567567568,2.140405405405405
La Liga,TUTTI,0.03,TOTALE,1393,-21.519999999999992,-0.015448671931083987,0.4946159368269921,2.0809475951184493
La Liga,TUTTI,0.03,2122,216,16.07999999999999,0.07444444444444441,0.5370370370370371,2.0231481481481484
La Liga,TUTTI,0.03,2223,289,-5.640000000000001,-0.019515570934256057,0.5121107266435986,1.9921453287197233
La Liga,TUTTI,0.03,2324,301,-32.7,-0.10863787375415283,0.46179401993355484,2.0598338870431894
La Liga,TUTTI,0.03,2425,298,8.739999999999998,0.029328859060402678,0.5,2.182751677852349
La Liga,TUTTI,0.03,2526,289,-7.999999999999996,-0.027681660899653963,0.4740484429065744,2.1299653979238755
Ligue 1,OVER25,0.03,TOTALE,597,-23.770000000000007,-0.039815745393634853,0.525963149078727,1.8538693467336684
Ligue 1,OVER25,0.03,2122,76,-4.03,-0.053026315789473685,0.4868421052631579,1.94
Ligue 1,OVER25,0.03,2223,158,-1.9000000000000012,-0.012025316455696211,0.5443037974683544,1.8374683544303798
Ligue 1,OVER25,0.03,2324,123,2.6700000000000004,0.021707317073170734,0.5447154471544715,1.8853658536585367
Ligue 1,OVER25,0.03,2425,141,-7.98,-0.056595744680851066,0.524822695035461,1.8426241134751769
Ligue 1,OVER25,0.03,2526,99,-12.529999999999998,-0.12656565656565655,0.5050505050505051,1.790808080808081
Ligue 1,UNDER25,0.03,TOTALE,598,-50.67000000000001,-0.08473244147157193,0.43812709030100333,2.184816053511706
Ligue 1,UNDER25,0.03,2122,153,-8.760000000000003,-0.05725490196078434,0.47058823529411764,2.0923529411764705
Ligue 1,UNDER25,0.03,2223,108,-20.200000000000003,-0.18703703703703706,0.37962962962962965,2.2474074074074073
Ligue 1,UNDER25,0.03,2324,119,-1.5000000000000018,-0.012605042016806737,0.4957983193277311,2.060420168067227
Ligue 1,UNDER25,0.03,2425,96,-19.080000000000002,-0.19875,0.3541666666666667,2.36375
Ligue 1,UNDER25,0.03,2526,122,-1.1299999999999994,-0.00926229508196721,0.45901639344262296,2.2259016393442623
Ligue 1,TUTTI,0.03,TOTALE,1195,-74.44,-0.0622928870292887,0.4820083682008368,2.019481171548117
